岗位名称,职级,工作年限要求,薪资,核心能力要求
嵌入式开发专家,P5（专家）,8-12年,60K-80K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
产品专家,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
高级产品总监,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
产品战略负责人,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
跨产品线负责人,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
设计专家,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
高级设计总监,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
用户体验战略负责人,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
设计体系专家,P5（专家）,8-12年,50K-70K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
运营专家,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
高级运营总监,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
业务增长战略负责人,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
运营体系专家,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
市场专家,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
高级市场总监,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
品牌战略专家,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
营销体系负责人,P5（专家）,8-12年,45K-65K,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
销售总监,P5（专家）,8-12年,30K-40K（底薪）+提成/分红（年综合150K-300K+）,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
全国销售总监,P5（专家）,8-12年,30K-40K（底薪）+提成/分红（年综合150K-300K+）,行业内具备一定影响力，能主导大型项目/业务线战略规划，攻克重大技术/业务难题，推动团队能力迭代与体系搭建。
销售战略负责人,P5（专家）,8-12年,30K-40K（底薪）+提成/分红（年综合150K-300K+）,
,,,,
